------------------------------------------------------------
 Ids vs. Vfg (pH = 2)
------------------------------------------------------------
Vfg (V), Ids (A/um)
               -0.28,          2.03308e-07
               -0.27,          1.99656e-07
               -0.26,          1.95936e-07
               -0.25,          1.92144e-07
               -0.24,          1.88276e-07
               -0.23,          1.84326e-07
               -0.22,           1.8029e-07
               -0.21,          1.76161e-07
                -0.2,          1.71933e-07
               -0.19,          1.67599e-07
               -0.18,          1.63149e-07
               -0.17,          1.58575e-07
               -0.16,          1.53865e-07
               -0.15,          1.49006e-07
               -0.14,          1.43982e-07
               -0.13,          1.38778e-07
               -0.12,           1.3337e-07
               -0.11,          1.27734e-07
                -0.1,          1.21837e-07
               -0.09,          1.15639e-07
               -0.08,           1.0909e-07
               -0.07,          1.02122e-07
               -0.06,          9.46426e-08
               -0.05,          8.65187e-08
               -0.04,          7.75482e-08
               -0.03,          6.73941e-08
               -0.02,          5.54093e-08
               -0.01,          3.99802e-08
                   0,          1.12526e-08
                0.01,          3.20276e-08
                0.02,           4.4205e-08
                0.03,          5.25581e-08
                0.04,          5.90388e-08
                0.05,          6.43694e-08
                0.06,          6.89118e-08
                0.07,          7.28782e-08
                0.08,           7.6406e-08
                0.09,          7.95905e-08
                 0.1,          8.25021e-08
                0.11,          8.51948e-08
                0.12,          8.77125e-08
                0.13,           9.0092e-08
                0.14,          9.23657e-08
                0.15,          9.45635e-08
                0.16,           9.6714e-08
                0.17,          9.88462e-08
                0.18,           1.0099e-07
                0.19,          1.03179e-07
                 0.2,          1.05449e-07
                0.21,          1.07844e-07
                0.22,          1.10414e-07
                0.23,          1.13219e-07
                0.24,          1.16335e-07
                0.25,          1.19856e-07
                0.26,          1.23902e-07
                0.27,          1.28628e-07
                0.28,          1.34234e-07
                0.29,          1.40991e-07
                 0.3,          1.49261e-07
                0.31,          1.59539e-07
                0.32,          1.72505e-07
                0.33,          1.89103e-07
                0.34,          2.10632e-07
                0.35,          2.38842e-07
                0.36,          2.76008e-07
                0.37,          3.24903e-07
                0.38,          3.88769e-07
                0.39,           4.7289e-07
                 0.4,          5.82066e-07
                0.41,          7.14152e-07
                0.42,          8.69726e-07
                0.43,          1.04973e-06
                0.44,          1.25493e-06
                0.45,          1.48585e-06
                0.46,          1.74281e-06
                0.47,           2.0259e-06
                0.48,          2.33494e-06
                0.49,          2.66957e-06
                 0.5,          3.02921e-06
                0.51,          3.41311e-06
                0.52,          3.82039e-06
                0.53,          4.25006e-06
                0.54,          4.70107e-06
                0.55,          5.17233e-06
                0.56,          5.66274e-06
                0.57,          6.17123e-06
                0.58,          6.69671e-06
